word,definition,phonetic,example
Phillips curve,菲利普斯曲线,/ˈfɪl.ɪps kɝːv/,The Phillips curve suggests a short-run trade-off between inflation and unemployment.
money,货币,/ˈmʌn.i/,Money serves as a medium of exchange.
money supply,货币供应量,/ˈmʌn.i səˈplaɪ/,The central bank monitors money supply growth.
liquidity,流动性,/lɪˈkwɪd.ə.t̬i/,Treasury bills have high liquidity.
central bank,中央银行,/ˈsen.trəl bæŋk/,The central bank raised rates to fight inflation.
monetary policy,货币政策,/ˈmɑː.nəˌter.i ˈpɑː.lə.si/,Monetary policy influences borrowing and spending.
fiscal policy,财政政策,/ˈfɪs.kəl ˈpɑː.lə.si/,Fiscal policy can stabilize demand during downturns.
open market operation,公开市场操作,/ˈoʊ.pən ˈmɑːr.kɪt ˌɑː.pəˈreɪ.ʃən/,The central bank used open market operations to inject reserves.
reserve requirement,存款准备金率,/rɪˈzɝːv rɪˈkwaɪr.mənt/,A lower reserve requirement may expand lending.
discount rate,贴现率,/ˈdɪs.kaʊnt reɪt/,The discount rate affects bank borrowing from the central bank.
multiplier,乘数,/ˈmʌl.təˌplaɪ.ɚ/,Government spending can have a multiplier effect.
crowding out,挤出效应,/ˈkraʊ.dɪŋ aʊt/,Large deficits may cause crowding out by raising interest rates.
GDP,国内生产总值,/ˌdʒiː.diːˈpiː/,GDP measures the market value of final goods and services.
real GDP,实际GDP,/ˈriː.əl ˌdʒiː.diːˈpiː/,Real GDP removes the effect of price changes.
nominal GDP,名义GDP,/ˈnɑː.mə.nəl ˌdʒiː.diːˈpiː/,Nominal GDP can rise because of inflation.
GDP deflator,GDP平减指数,/ˌdʒiː.diːˈpiː dɪˈfleɪ.t̬ɚ/,The GDP deflator compares nominal GDP with real GDP.
per capita income,人均收入,/pɚ ˈkæp.ə.t̬ə ˈɪn.kʌm/,Per capita income is often used to compare living standards.
economic growth,经济增长,/ˌiː.kəˈnɑː.mɪk ɡroʊθ/,Technological progress is a major source of economic growth.
product market,产品市场,/ˈprɑː.dʌkt ˈmɑːr.kɪt/,Firms compete in the product market by adjusting prices and quality.
factor market,要素市场,/ˈfæk.tɚ ˈmɑːr.kɪt/,Workers sell labor in the factor market.
comparative advantage,比较优势,/kəmˈpær.ə.t̬ɪv ədˈvæn.t̬ɪdʒ/,Countries gain from trade by specializing according to comparative advantage.
absolute advantage,绝对优势,/ˈæb.sə.luːt ədˈvæn.t̬ɪdʒ/,Absolute advantage means producing more with the same resources.
specialization,专业化,/ˌspeʃ.ə.ləˈzeɪ.ʃən/,Specialization can raise total output.
gains from trade,贸易收益,/ɡeɪnz frəm treɪd/,Both sides can enjoy gains from trade.
tariff,关税,/ˈter.ɪf/,The tariff increased the domestic price of steel.
quota,配额,/ˈkwoʊ.t̬ə/,The import quota limited foreign sugar sales.
exchange rate,汇率,/ɪksˈtʃeɪndʒ reɪt/,The exchange rate affects export competitiveness.
appreciation,升值,/əˌpriː.ʃiˈeɪ.ʃən/,Currency appreciation can make exports more expensive abroad.
depreciation (currency),贬值,/dɪˌpriː.ʃiˈeɪ.ʃən/,Currency depreciation can stimulate net exports.
balance of payments,国际收支,/ˈbæl.əns əv ˈpeɪ.mənts/,The balance of payments records transactions with the rest of the world.
current account,经常账户,/ˈkɝː.ənt əˈkaʊnt/,A current account surplus means exports exceed imports and net transfers.
capital account,资本账户,/ˈkæp.ɪ.t̬əl əˈkaʊnt/,The capital account reflects some cross-border asset transfers.
foreign direct investment,外国直接投资,/ˈfɔːr.ən dəˈrekt ɪnˈvest.mənt/,Foreign direct investment can transfer technology to host countries.
purchasing power parity,购买力平价,/ˈpɝː.tʃə.sɪŋ paʊ.ɚ ˈpær.ə.t̬i/,Purchasing power parity compares price levels across countries.
development economics,发展经济学,/dɪˈvel.əp.mənt ˌek.əˈnɑː.mɪks/,Development economics studies poverty and long-run transformation.
poverty trap,贫困陷阱,/ˈpɑː.vɚ.t̬i træp/,Low savings and poor health can create a poverty trap.
income distribution,收入分配,/ˈɪn.kʌm ˌdɪs.trəˈbjuː.ʃən/,Income distribution became more unequal over the decade.
inequality,不平等,/ˌɪn.ɪˈkwɑː.lə.t̬i/,Many economists study the causes of income inequality.
Lorenz curve,洛伦兹曲线,/ˈlɔːr.ənts kɝːv/,The Lorenz curve illustrates the distribution of income.
Gini coefficient,基尼系数,/ˈdʒiː.ni ˌkoʊ.ɪˈfɪʃ.ənt/,A higher Gini coefficient indicates greater inequality.
welfare economics,福利经济学,/ˈwel.fer ˌek.əˈnɑː.mɪks/,Welfare economics evaluates policy using efficiency and equity criteria.
deadweight loss,无谓损失,/ˈded.weɪt lɔːs/,A monopoly creates deadweight loss by restricting output.
Pareto efficiency,帕累托效率,/pəˈreɪ.toʊ ɪˈfɪʃ.ən.si/,An allocation is Pareto efficient when no one can be made better off without harming someone else.
social welfare,社会福利,/ˈsoʊ.ʃəl ˈwel.fer/,The reform aimed to improve social welfare.
behavioral economics,行为经济学,/bɪˌheɪv.jɚ.əl ˌek.əˈnɑː.mɪks/,Behavioral economics studies how real decisions depart from strict rationality.
bounded rationality,有限理性,/ˈbaʊn.dɪd ˌræʃ.əˈnæl.ə.t̬i/,Bounded rationality recognizes limits on information and computation.
loss aversion,损失厌恶,/lɔːs əˈvɝː.ʒən/,Loss aversion makes people weigh losses more than gains.
time preference,时间偏好,/taɪm ˈpref.ɚ.əns/,A strong time preference leads people to value present consumption more.
present bias,当下偏误,/ˈprez.ənt ˈbaɪ.əs/,Present bias can reduce retirement saving.
econometrics,计量经济学,/ɪˌkɑː.nəˈme.trɪks/,"Econometrics combines theory, data, and statistics."
regression analysis,回归分析,/rɪˈɡreʃ.ən əˈnæl.ə.sɪs/,Regression analysis estimates the relationship between variables.
dependent variable,因变量,/dɪˈpen.dənt ˈver.i.ə.bəl/,Income is the dependent variable in this equation.
independent variable,自变量,/ˌɪn.dɪˈpen.dənt ˈver.i.ə.bəl/,Education is an independent variable in the wage regression.
coefficient,系数,/ˌkoʊ.əˈfɪʃ.ənt/,The coefficient on experience is positive and significant.
statistical significance,统计显著性,/stəˌtɪs.tɪ.kəl sɪɡˈnɪf.ə.kəns/,The estimate lacks statistical significance at the 5 percent level.
endogeneity,内生性,/ˌen.doʊ.dʒəˈniː.ə.t̬i/,Endogeneity can bias ordinary least squares estimates.
instrumental variable,工具变量,/ˌɪn.strəˈmen.t̬əl ˈver.i.ə.bəl/,Researchers used distance as an instrumental variable.
panel data,面板数据,/ˈpæn.əl ˈdeɪ.t̬ə/,Panel data follow the same units across time.
time series,时间序列,/taɪm ˈsɪr.iːz/,Time series data may display seasonal patterns.
cross-sectional data,截面数据,/ˌkrɔːs ˈsek.ʃən.əl ˈdeɪ.t̬ə/,Cross-sectional data compare many households at one point in time.
causality,因果关系,/kɑːˈzæl.ə.t̬i/,Correlation alone does not prove causality.
microeconomics,微观经济学,/ˌmaɪ.kroʊˌek.əˈnɑː.mɪks/,"Microeconomics studies individual consumers, firms, and markets."
macroeconomics,宏观经济学,/ˌmæk.roʊˌek.əˈnɑː.mɪks/,"Macroeconomics focuses on inflation, unemployment, and growth."
general equilibrium,一般均衡,/ˈdʒen.ɚ.əl ˌiː.kwəˈlɪb.ri.əm/,General equilibrium examines how many markets interact at once.
partial equilibrium,局部均衡,/ˈpɑːr.ʃəl ˌiː.kwəˈlɪb.ri.əm/,Partial equilibrium studies one market while holding others constant.
risk aversion,风险厌恶,/rɪsk əˈvɝː.ʒən/,Risk aversion affects how households choose insurance.
expected utility,期望效用,/ɪkˈspek.tɪd juːˈtɪl.ə.t̬i/,Expected utility theory models choices under uncertainty.
intertemporal choice,跨期选择,/ˌɪn.t̬ɚˈtem.pə.rəl tʃɔɪs/,Intertemporal choice compares consumption today with consumption tomorrow.
capital accumulation,资本积累,/ˈkæp.ə.t̬əl əˌkjuː.mjəˈleɪ.ʃən/,Capital accumulation supports long-run increases in output.
