word,definition,phonetic,example
serialization,序列化,/sɪˌriəlaɪˈzeɪʃən/,The team added serialization to keep the software architecture flexible.
deserialization,反序列化,/diˌsɪriəlaɪˈzeɪʃən/,The team added deserialization to keep the software architecture flexible.
reflection,反射,/rɪflekʃən/,The team added reflection to keep the software architecture flexible.
introspection,自省,/ɪntrəspekʃən/,The team added introspection to keep the software architecture flexible.
state machine,状态机,/steɪt məʃin/,The team added state machine to keep the software architecture flexible.
finite automaton,有限自动机,/faɪnaɪt ɔtɑmətɑn/,The team added finite automaton to keep the software architecture flexible.
workflow engine,工作流引擎,/wɝkfloʊ endʒən/,The team added workflow engine to keep the software architecture flexible.
domain model,领域模型,/doʊmeɪn mɑdəl/,The team added domain model to keep the software architecture flexible.
business logic,业务逻辑,/bɪznəs lɑdʒɪk/,The team added business logic to keep the software architecture flexible.
presentation layer,表现层,/prezənteɪʃən leɪɚ/,The team added presentation layer to keep the software architecture flexible.
service layer,服务层,/sɝvəs leɪɚ/,The team added service layer to keep the software architecture flexible.
data access layer,数据访问层,/deɪtə ækses leɪɚ/,The team added data access layer to keep the software architecture flexible.
application layer,应用层,/æpləkeɪʃən leɪɚ/,The team added application layer to keep the software architecture flexible.
middleware,中间件,/ˈmɪdəlˌwer/,The team added middleware to keep the software architecture flexible.
message queue,消息队列,/mesədʒ kju/,The team added message queue to keep the software architecture flexible.
event bus,事件总线,/ɪvent bʌs/,The team added event bus to keep the software architecture flexible.
plugin system,插件系统,/plʌɡɪn sɪstəm/,The team added plugin system to keep the software architecture flexible.
extension point,扩展点,/ɪkstenʃən pɔɪnt/,The team added extension point to keep the software architecture flexible.
software architecture,软件架构,/sɔftwer ɑrkətektʃɚ/,The team added software architecture to keep the software architecture flexible.
data structure,数据结构,/deɪtə strʌktʃɚ/,This feature relies on data structure to store and retrieve data efficiently.
linked list,链表,/lɪŋkt lɪst/,This feature relies on linked list to store and retrieve data efficiently.
singly linked list,单向链表,/sɪŋɡli lɪŋkt lɪst/,This feature relies on singly linked list to store and retrieve data efficiently.
doubly linked list,双向链表,/dʌbli lɪŋkt lɪst/,This feature relies on doubly linked list to store and retrieve data efficiently.
stack,栈,/stæk/,This feature relies on stack to store and retrieve data efficiently.
queue,队列,/kju/,This feature relies on queue to store and retrieve data efficiently.
deque,双端队列,/dek/,This feature relies on deque to store and retrieve data efficiently.
priority queue,优先队列,/praɪɔrəti kju/,This feature relies on priority queue to store and retrieve data efficiently.
hash table,哈希表,/hæʃ teɪbəl/,This feature relies on hash table to store and retrieve data efficiently.
hash map,哈希映射,/hæʃ mæp/,This feature relies on hash map to store and retrieve data efficiently.
dictionary,字典,/dɪkʃəneri/,This feature relies on dictionary to store and retrieve data efficiently.
set,集合,/set/,This feature relies on set to store and retrieve data efficiently.
tuple,元组,/ˈtuːpəl/,This feature relies on tuple to store and retrieve data efficiently.
heap,堆,/hip/,This feature relies on heap to store and retrieve data efficiently.
binary heap,二叉堆,/baɪnɚi hip/,This feature relies on binary heap to store and retrieve data efficiently.
tree,树,/tri/,This feature relies on tree to store and retrieve data efficiently.
binary tree,二叉树,/baɪnɚi tri/,This feature relies on binary tree to store and retrieve data efficiently.
binary search tree,二叉搜索树,/baɪnɚi sɝtʃ tri/,This feature relies on binary search tree to store and retrieve data efficiently.
balanced tree,平衡树,/bælənst tri/,This feature relies on balanced tree to store and retrieve data efficiently.
red black tree,红黑树,/red blæk tri/,This feature relies on red black tree to store and retrieve data efficiently.
B tree,B 树,/bi tri/,This feature relies on B tree to store and retrieve data efficiently.
trie,前缀树,/traɪ/,This feature relies on trie to store and retrieve data efficiently.
graph,图,/ɡræf/,This feature relies on graph to store and retrieve data efficiently.
directed graph,有向图,/dɚektəd ɡræf/,This feature relies on directed graph to store and retrieve data efficiently.
undirected graph,无向图,/ˌʌndəˈrektɪd ɡræf/,This feature relies on undirected graph to store and retrieve data efficiently.
node,节点,/noʊd/,This feature relies on node to store and retrieve data efficiently.
edge,边,/edʒ/,This feature relies on edge to store and retrieve data efficiently.
vertex,顶点,/vɝteks/,This feature relies on vertex to store and retrieve data efficiently.
adjacency list,邻接表,/əˈdʒeɪsənsi lɪst/,This feature relies on adjacency list to store and retrieve data efficiently.
adjacency matrix,邻接矩阵,/əˈdʒeɪsənsi meɪtrɪks/,This feature relies on adjacency matrix to store and retrieve data efficiently.
matrix,矩阵,/meɪtrɪks/,This feature relies on matrix to store and retrieve data efficiently.
sparse matrix,稀疏矩阵,/spɑrs meɪtrɪks/,This feature relies on sparse matrix to store and retrieve data efficiently.
buffer,缓冲区,/bʌfɚ/,This feature relies on buffer to store and retrieve data efficiently.
ring buffer,环形缓冲区,/rɪŋ bʌfɚ/,This feature relies on ring buffer to store and retrieve data efficiently.
bitmap,位图,/ˈbɪtmæp/,This feature relies on bitmap to store and retrieve data efficiently.
bitset,位集合,/ˈbɪtset/,This feature relies on bitset to store and retrieve data efficiently.
index,索引,/ɪndeks/,This feature relies on index to store and retrieve data efficiently.
inverted index,倒排索引,/ɪnvɝtɪd ɪndeks/,This feature relies on inverted index to store and retrieve data efficiently.
suffix array,后缀数组,/sʌfɪks ɚeɪ/,This feature relies on suffix array to store and retrieve data efficiently.
segment tree,线段树,/seɡmənt tri/,This feature relies on segment tree to store and retrieve data efficiently.
Fenwick tree,树状数组,/ˈfenwɪk tri/,This feature relies on Fenwick tree to store and retrieve data efficiently.
disjoint set,并查集,/dɪsdʒɔɪnt set/,This feature relies on disjoint set to store and retrieve data efficiently.
union find,并查集算法,/junjən faɪnd/,This feature relies on union find to store and retrieve data efficiently.
bloom filter,布隆过滤器,/blum fɪltɚ/,This feature relies on bloom filter to store and retrieve data efficiently.
skip list,跳表,/skɪp lɪst/,This feature relies on skip list to store and retrieve data efficiently.
prefix sum,前缀和,/prifɪks sʌm/,This feature relies on prefix sum to store and retrieve data efficiently.
sliding window,滑动窗口,/slaɪdɪŋ wɪndoʊ/,This feature relies on sliding window to store and retrieve data efficiently.
lookup table,查找表,/lʊkəp teɪbəl/,This feature relies on lookup table to store and retrieve data efficiently.
symbol table,符号表,/sɪmbəl teɪbəl/,This feature relies on symbol table to store and retrieve data efficiently.
record structure,记录结构,/rəkɔrd strʌktʃɚ/,This feature relies on record structure to store and retrieve data efficiently.
time complexity,时间复杂度,/taɪm kəmpleksəti/,time complexity helped the program solve the problem more efficiently.
space complexity,空间复杂度,/speɪs kəmpleksəti/,space complexity helped the program solve the problem more efficiently.
big O notation,大 O 记法,/bɪɡ oʊ noʊteɪʃən/,big O notation helped the program solve the problem more efficiently.
constant time,常数时间,/kɑnstənt taɪm/,constant time helped the program solve the problem more efficiently.
linear time,线性时间,/lɪniɚ taɪm/,linear time helped the program solve the problem more efficiently.
logarithmic time,对数时间,/lɑɡɚɪðmɪk taɪm/,logarithmic time helped the program solve the problem more efficiently.
polynomial time,多项式时间,/pɑlinoʊmiəl taɪm/,polynomial time helped the program solve the problem more efficiently.
sorting,排序,/sɔrtɪŋ/,sorting helped the program solve the problem more efficiently.
searching,查找,/sɝtʃɪŋ/,searching helped the program solve the problem more efficiently.
binary search,二分查找,/baɪnɚi sɝtʃ/,binary search helped the program solve the problem more efficiently.
linear search,线性查找,/lɪniɚ sɝtʃ/,linear search helped the program solve the problem more efficiently.
depth first search,深度优先搜索,/depθ fɝst sɝtʃ/,depth first search helped the program solve the problem more efficiently.
breadth first search,广度优先搜索,/bredθ fɝst sɝtʃ/,breadth first search helped the program solve the problem more efficiently.
divide and conquer,分治法,/dɪvaɪd ənd kɑŋkɚ/,divide and conquer helped the program solve the problem more efficiently.
dynamic programming,动态规划,/daɪnæmɪk proʊɡræmɪŋ/,dynamic programming helped the program solve the problem more efficiently.
greedy algorithm,贪心算法,/ɡridi ælɡɚɪðəm/,greedy algorithm helped the program solve the problem more efficiently.
backtracking,回溯法,/bæktrækɪŋ/,backtracking helped the program solve the problem more efficiently.
branch and bound,分支限界法,/bræntʃ ənd baʊnd/,branch and bound helped the program solve the problem more efficiently.
heuristic search,启发式搜索,/hjʊrɪstɪk sɝtʃ/,heuristic search helped the program solve the problem more efficiently.
randomized algorithm,随机算法,/rændəmaɪzd ælɡɚɪðəm/,randomized algorithm helped the program solve the problem more efficiently.
deterministic algorithm,确定性算法,/dɪtɝmənɪstɪk ælɡɚɪðəm/,deterministic algorithm helped the program solve the problem more efficiently.
approximation algorithm,近似算法,/əprɑksəmeɪʃən ælɡɚɪðəm/,approximation algorithm helped the program solve the problem more efficiently.
parallel algorithm,并行算法,/perəlel ælɡɚɪðəm/,parallel algorithm helped the program solve the problem more efficiently.
distributed algorithm,分布式算法,/dɪstrɪbjətəd ælɡɚɪðəm/,distributed algorithm helped the program solve the problem more efficiently.
merge sort,归并排序,/mɝdʒ sɔrt/,merge sort helped the program solve the problem more efficiently.
quick sort,快速排序,/kwɪk sɔrt/,quick sort helped the program solve the problem more efficiently.
heap sort,堆排序,/hip sɔrt/,heap sort helped the program solve the problem more efficiently.
bubble sort,冒泡排序,/bʌbəl sɔrt/,bubble sort helped the program solve the problem more efficiently.
insertion sort,插入排序,/ɪnsɝʃən sɔrt/,insertion sort helped the program solve the problem more efficiently.
selection sort,选择排序,/səlekʃən sɔrt/,selection sort helped the program solve the problem more efficiently.
topological sort,拓扑排序,/təpəlɑdʒɪkəl sɔrt/,topological sort helped the program solve the problem more efficiently.
shortest path,最短路径,/ʃɔrtɪst pæθ/,shortest path helped the program solve the problem more efficiently.
minimum spanning tree,最小生成树,/mɪnəməm spænɪŋ tri/,minimum spanning tree helped the program solve the problem more efficiently.
Dijkstra algorithm,迪杰斯特拉算法,/ˈdaɪkstrə ælɡɚɪðəm/,Dijkstra algorithm helped the program solve the problem more efficiently.
Bellman Ford algorithm,贝尔曼-福特算法,/belmən fɔrd ælɡɚɪðəm/,Bellman Ford algorithm helped the program solve the problem more efficiently.
Floyd Warshall algorithm,弗洛伊德-沃舍尔算法,/flɔɪd ˈwɔrʃəl ælɡɚɪðəm/,Floyd Warshall algorithm helped the program solve the problem more efficiently.
knapsack problem,背包问题,/næpsæk prɑbləm/,knapsack problem helped the program solve the problem more efficiently.
traveling salesman problem,旅行商问题,/trævəlɪŋ seɪlzmən prɑbləm/,traveling salesman problem helped the program solve the problem more efficiently.
state transition,状态转移,/steɪt trænzɪʃən/,state transition helped the program solve the problem more efficiently.
memoization,记忆化,/ˌmemoʊəˈzeɪʃən/,memoization helped the program solve the problem more efficiently.
pruning,剪枝,/prunɪŋ/,pruning helped the program solve the problem more efficiently.
partitioning,划分,/pɑrtɪʃənɪŋ/,partitioning helped the program solve the problem more efficiently.
hashing,哈希处理,/hæʃɪŋ/,hashing helped the program solve the problem more efficiently.
collision resolution,冲突解决,/kəlɪʒən rezəluʃən/,collision resolution helped the program solve the problem more efficiently.
load factor,装载因子,/loʊd fæktɚ/,load factor helped the program solve the problem more efficiently.
sampling,采样,/sæmplɪŋ/,sampling helped the program solve the problem more efficiently.
interpolation,插值,/ɪtɝpəleɪʃən/,interpolation helped the program solve the problem more efficiently.
clustering,聚类,/klʌstɚɪŋ/,clustering helped the program solve the problem more efficiently.
ranking,排序排名,/ræŋkɪŋ/,ranking helped the program solve the problem more efficiently.
recommendation,推荐,/rekəməndeɪʃən/,recommendation helped the program solve the problem more efficiently.
database,数据库,/deɪtəbeɪs/,The database uses database to keep queries fast and data consistent.
relational database,关系型数据库,/rileɪʃənəl deɪtəbeɪs/,The database uses relational database to keep queries fast and data consistent.
table schema,表结构,/teɪbəl skimə/,The database uses table schema to keep queries fast and data consistent.
table,数据表,/teɪbəl/,The database uses table to keep queries fast and data consistent.
column,列,/kɑləm/,The database uses column to keep queries fast and data consistent.
row,行,/roʊ/,The database uses row to keep queries fast and data consistent.
record,记录,/rəkɔrd/,The database uses record to keep queries fast and data consistent.
field,字段,/fild/,The database uses field to keep queries fast and data consistent.
query,查询,/kwiri/,The database uses query to keep queries fast and data consistent.
structured query language,结构化查询语言,/strʌktʃɚd kwiri læŋɡwədʒ/,The database uses structured query language to keep queries fast and data consistent.
join,连接查询,/dʒɔɪn/,The database uses join to keep queries fast and data consistent.
inner join,内连接,/ɪnɚ dʒɔɪn/,The database uses inner join to keep queries fast and data consistent.
left join,左连接,/left dʒɔɪn/,The database uses left join to keep queries fast and data consistent.
primary key,主键,/praɪmeri ki/,The database uses primary key to keep queries fast and data consistent.
foreign key,外键,/fɔrən ki/,The database uses foreign key to keep queries fast and data consistent.
unique constraint,唯一约束,/junik kənstreɪnt/,The database uses unique constraint to keep queries fast and data consistent.
check constraint,检查约束,/tʃek kənstreɪnt/,The database uses check constraint to keep queries fast and data consistent.
index scan,索引扫描,/ɪndeks skæn/,The database uses index scan to keep queries fast and data consistent.
full table scan,全表扫描,/fʊl teɪbəl skæn/,The database uses full table scan to keep queries fast and data consistent.
query planner,查询规划器,/kwiri plænɚ/,The database uses query planner to keep queries fast and data consistent.
execution plan,执行计划,/eksəkjuʃən plæn/,The database uses execution plan to keep queries fast and data consistent.
transaction,事务,/trænzækʃən/,The database uses transaction to keep queries fast and data consistent.
atomicity,原子性,/ˌætəˈmɪsɪti/,The database uses atomicity to keep queries fast and data consistent.
consistency,一致性,/kənsɪstənsi/,The database uses consistency to keep queries fast and data consistent.
isolation,隔离性,/aɪsəleɪʃən/,The database uses isolation to keep queries fast and data consistent.
durability,持久性,/dɚəbɪlɪti/,The database uses durability to keep queries fast and data consistent.
commit,提交,/kəmɪt/,The database uses commit to keep queries fast and data consistent.
rollback,回滚,/roʊlbæk/,The database uses rollback to keep queries fast and data consistent.
locking,锁机制,/lɑkɪŋ/,The database uses locking to keep queries fast and data consistent.
deadlock,死锁,/dedlɑk/,The database uses deadlock to keep queries fast and data consistent.
database normalization,数据库规范化,/deɪtəbeɪs nɔrməlɪzeɪʃən/,The database uses database normalization to keep queries fast and data consistent.
denormalization,反规范化,/diˌnɔrmələˈzeɪʃən/,The database uses denormalization to keep queries fast and data consistent.
partitioned table,分区表,/pɑrtɪʃənd teɪbəl/,The database uses partitioned table to keep queries fast and data consistent.
sharding,分片,/ˈʃɑrdɪŋ/,The database uses sharding to keep queries fast and data consistent.
replication,复制,/repləkeɪʃən/,The database uses replication to keep queries fast and data consistent.
read replica,只读副本,/red replɪkə/,The database uses read replica to keep queries fast and data consistent.
data warehouse,数据仓库,/deɪtə werhaʊs/,The database uses data warehouse to keep queries fast and data consistent.
materialized view,物化视图,/mətɪriəlaɪzd vju/,The database uses materialized view to keep queries fast and data consistent.
stored procedure,存储过程,/stɔrd prəsidʒɚ/,The database uses stored procedure to keep queries fast and data consistent.
trigger,触发器,/trɪɡɚ/,The database uses trigger to keep queries fast and data consistent.
cursor,游标,/kɝsɚ/,The database uses cursor to keep queries fast and data consistent.
migration,迁移,/maɪɡreɪʃən/,The database uses migration to keep queries fast and data consistent.
backup,备份,/bækʌp/,The database uses backup to keep queries fast and data consistent.
restore,恢复,/rɪstɔr/,The database uses restore to keep queries fast and data consistent.
data retention,数据保留策略,/deɪtə ritenʃən/,The database uses data retention to keep queries fast and data consistent.
computer network,计算机网络,/kəmpjutɚ netwɝk/,The web service depends on computer network to communicate with clients reliably.
protocol,协议,/proʊtəkɑl/,The web service depends on protocol to communicate with clients reliably.
packet,数据包,/pækət/,The web service depends on packet to communicate with clients reliably.
frame,帧,/freɪm/,The web service depends on frame to communicate with clients reliably.
header,首部,/hedɚ/,The web service depends on header to communicate with clients reliably.
payload,有效载荷,/peɪloʊd/,The web service depends on payload to communicate with clients reliably.
socket,套接字,/sɑkət/,The web service depends on socket to communicate with clients reliably.
port number,端口号,/pɔrt nʌmbɚ/,The web service depends on port number to communicate with clients reliably.
internet protocol,互联网协议,/ɪntɚnet proʊtəkɑl/,The web service depends on internet protocol to communicate with clients reliably.
transmission control protocol,传输控制协议,/trænsmɪʃən kəntroʊl proʊtəkɑl/,The web service depends on transmission control protocol to communicate with clients reliably.
user datagram protocol,用户数据报协议,/juzɚ ˈdeɪtəɡræm proʊtəkɑl/,The web service depends on user datagram protocol to communicate with clients reliably.
domain name system,域名系统,/doʊmeɪn neɪm sɪstəm/,The web service depends on domain name system to communicate with clients reliably.
hostname,主机名,/ˈhoʊstˌneɪm/,The web service depends on hostname to communicate with clients reliably.
domain name,域名,/doʊmeɪn neɪm/,The web service depends on domain name to communicate with clients reliably.
uniform resource locator,统一资源定位符,/junəfɔrm risɔrs loʊkeɪtɚ/,The web service depends on uniform resource locator to communicate with clients reliably.
hypertext transfer protocol,超文本传输协议,/haɪpɚtekst trænsfɝ proʊtəkɑl/,The web service depends on hypertext transfer protocol to communicate with clients reliably.
hypertext markup language,超文本标记语言,/haɪpɚtekst mɑrkʌp læŋɡwədʒ/,The web service depends on hypertext markup language to communicate with clients reliably.
cascading style sheets,层叠样式表,/kæskeɪdɪŋ staɪl ʃits/,The web service depends on cascading style sheets to communicate with clients reliably.
javascript engine,JavaScript 引擎,/ˈdʒɑːvəˌskrɪpt endʒən/,The web service depends on javascript engine to communicate with clients reliably.
browser cache,浏览器缓存,/braʊzɚ kæʃ/,The web service depends on browser cache to communicate with clients reliably.
cookie,Cookie,/kʊki/,The web service depends on cookie to communicate with clients reliably.
session,会话,/seʃən/,The web service depends on session to communicate with clients reliably.
request header,请求头,/rɪkwest hedɚ/,The web service depends on request header to communicate with clients reliably.
response header,响应头,/rɪspɑns hedɚ/,The web service depends on response header to communicate with clients reliably.
status code,状态码,/stætəs koʊd/,The web service depends on status code to communicate with clients reliably.
application server,应用服务器,/æpləkeɪʃən sɝvɚ/,The web service depends on application server to communicate with clients reliably.
web server,Web 服务器,/web sɝvɚ/,The web service depends on web server to communicate with clients reliably.
reverse proxy,反向代理,/rɪvɝs prɑksi/,The web service depends on reverse proxy to communicate with clients reliably.
load balancer,负载均衡器,/loʊd bælənsɚ/,The web service depends on load balancer to communicate with clients reliably.
content delivery network,内容分发网络,/kɑntent dɪlɪvɚi netwɝk/,The web service depends on content delivery network to communicate with clients reliably.
bandwidth,带宽,/bændwɪdθ/,The web service depends on bandwidth to communicate with clients reliably.
latency,延迟,/leɪtənsi/,The web service depends on latency to communicate with clients reliably.
throughput,吞吐量,/θrupʊt/,The web service depends on throughput to communicate with clients reliably.
handshake,握手,/hændʃeɪk/,The web service depends on handshake to communicate with clients reliably.
routing,路由,/raʊtɪŋ/,The web service depends on routing to communicate with clients reliably.
switching,交换,/swɪtʃɪŋ/,The web service depends on switching to communicate with clients reliably.
gateway,网关,/ɡeɪtweɪ/,The web service depends on gateway to communicate with clients reliably.
subnet,子网,/ˈsʌbˌnet/,The web service depends on subnet to communicate with clients reliably.
virtual private network,虚拟专用网络,/vɝtʃuəl praɪvət netwɝk/,The web service depends on virtual private network to communicate with clients reliably.
firewall,防火墙,/faɪrwɑl/,The web service depends on firewall to communicate with clients reliably.
network address translation,网络地址转换,/netwɝk ædres trænzleɪʃən/,The web service depends on network address translation to communicate with clients reliably.
transport layer security,传输层安全协议,/trænspɔrt leɪɚ sɪkjʊrəti/,The web service depends on transport layer security to communicate with clients reliably.
certificate authority,证书颁发机构,/sɚtɪfɪkət əθɔrəti/,The web service depends on certificate authority to communicate with clients reliably.
public key,公钥,/pʌblɪk ki/,The web service depends on public key to communicate with clients reliably.
private key,私钥,/praɪvət ki/,The web service depends on private key to communicate with clients reliably.
encryption,加密,/enkrɪpʃən/,The web service depends on encryption to communicate with clients reliably.
decryption,解密,/diˈkrɪpʃən/,The web service depends on decryption to communicate with clients reliably.
authentication,身份认证,/ɔθentəkeɪʃən/,The web service depends on authentication to communicate with clients reliably.
authorization,授权,/ɔθɚəzeɪʃən/,The web service depends on authorization to communicate with clients reliably.
single sign on,单点登录,/sɪŋɡəl saɪn ɑn/,The web service depends on single sign on to communicate with clients reliably.
websocket connection,WebSocket 连接,/ˈwebˌsɑkɪt kənekʃən/,The web service depends on websocket connection to communicate with clients reliably.
restful service,RESTful 服务,/ˈrestfəl sɝvəs/,The web service depends on restful service to communicate with clients reliably.
graphql query,GraphQL 查询,/ˈɡrɑf kjuː ɛl kwiri/,The web service depends on graphql query to communicate with clients reliably.
